,Academic Year,Mobility Duration,Field of Education,Participant Country,Education Level,Participant Gender,Fewer Opportunities,Participant Age,Sending Country,Sending City,Sending Organization,Receiving Country,Receiving City,Receiving Organization
375839,2023,309,Engineering and engineering trades,Mexico,ISCED-7 - Second cycle / Master’s or equivalent level (EQF-7),Male,0,22,Mexico,MERIDA YUCATAN,UADY,France,PERPIGNAN,UPVD
67185,2022,151,Sports,Slovakia,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Male,0,25,Denmark,AALBORG,UNIVERSITY COLLEGE OF NORTHERN DENMARK,Czechia,Prague,-
177385,2018,138,"Travel, tourism and leisure",Finland,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Male,No,29,Finland,Helsinki,HAAGA-HELIA AMMATTIKORKEAKOULU OY,Germany,Bad-Honnef,IUBH Internationale Hochschule
161271,2018,60,Therapy and rehabilitation,France,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Female,No,21,Spain,VIC BARCELONA,FUNDACIO UNIVERSITARIA BALMES,France,Perpignan,Cabinet à 2 mains
508920,2015,99,Management and administration,Turkey,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Female,No,21,Turkey,Istanbul,YEDITEPE UNIVERSITY VAKIF,Germany,Dortmund,ISM International School of Management GmbH - Gemeinnuetzige Gesellschaft
345962,2023,181,Arts and humanities,France,ISCED-7 - Second cycle / Master’s or equivalent level (EQF-7),Female,0,22,France,VERSAILLES,Universit? de Versailles Saint-Quentin-en-Yvelines,Germany,Stuttgart,-
202109,2022,86,Psychology,Germany,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Female,0,21,Germany,Tübingen,EBERHARD KARLS UNIVERSITAET TUEBINGEN,Spain,Barcelona,UPF
491016,2018,287,Work skills,Spain,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Female,No,20,Spain,VALENCIA,UNIVERSITAT DE VALENCIA,Italy,MESSINA,UNIVERSITA DEGLI STUDI DI MESSINA
578489,2017,97,Mathematics and statistics,Italy,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Female,No,19,Italy,Cosenza,"FONDAZIONE ISTITUTO TECNICO SUPERIORE  ""A. MONACO"" Settore energia",Spain,Madrid,COSESMA ALEXNOVA ICUR
186620,2020,60,"Business, administration and law",France,ISCED-5 - Short-cycle within the first cycle / Short-cycle tertiary education (EQF-5),Female,No,19,France,Nantes,OGEC Nantes Erdre,Portugal,Domingos de Rana,AZ Do Cafe
67878,2021,138,Audio-visual techniques and media production,Denmark,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Female,0,23,Denmark,KØBENHAVN,UCPH,Netherlands,Amsterdam,UVa
139934,2018,90,Biology,Greece,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Female,No,23,Greece,Chania,PANEPISTIMIO KRITIS,Netherlands,Rotterdam,Erasmus University
133513,2021,154,Business and administration,Germany,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Male,No,23,Germany,ZWICKAU,WESTSACHSISCHE HOCHSCHULE ZWICKAU,Portugal,PORTO,UNIVERSIDADE DO PORTO
122994,2022,140,Biochemistry,Sweden,ISCED-7 - Second cycle / Master’s or equivalent level (EQF-7),Female,0,24,Sweden,Uppsala,Uppsala universitet,Estonia,Tartu,UNIVERSITY OF TARTU
751221,2024,6,"Business, administration and law",Tunisia,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Male,0,22,Belgium,BRUXELLES,EPHEC,Czechia,Praha - Suchdol,"CZU, Czech University of Life Sciences Prague"
427309,2023,90,Child care and youth services,France,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Female,1,19,France,Toulouse,IFRASS,Norway,Trondheim,DMMH
498071,2023,90,"Travel, tourism and leisure",Italy,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Female,0,22,Italy,MACERATA,UNIMC,Spain,Sevilla,-
725521,2023,132,Teacher training with subject specialization,Spain,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Male,0,21,Spain,ZARAGOZA,UNIVERSIDAD DE ZARAGOZA,Czechia,USTI NAD LABEM,UJEP
76701,2015,115,Law,Spain,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Male,No,21,Spain,MADRID,UNIVERSIDAD AUTONOMA DE MADRID,Sweden,GOETEBORG,GOETEBORGS UNIVERSITET
131448,2018,155,Engineering and engineering trades,Denmark,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Male,No,27,Denmark,KGS LYNGBY,DANMARKS TEKNISKE UNIVERSITET,Norway,TRONDHEIM,NORGES TEKNISK-NATURVITENSKAPELIGE UNIVERSITET NTNU
143357,2014,310,Health,Italy,ISCED-7 - Second cycle / Master’s or equivalent level (EQF-7),Female,No,21,Italy,Cagliari,UNIVERSITA DEGLI STUDI DI CAGLIARI,France,VILLEURBANNE CEDEX,UNIVERSITE LYON 1 CLAUDE BERNARD
10490,2020,88,Transport services,Latvia,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Male,No,26,Latvia,Riga,SIA NOVIKONTAS JURAS KOLEDZA,Denmark,Copenhagen,Monjasa
670298,2023,143,Music and performing arts,Ukraine,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Female,0,20,Czechia,BRNO STRED,MU,Italy,Pavia,UNIPV
192903,2020,57,"Travel, tourism and leisure",Norway,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Female,No,18,Netherlands,BREDA,STICHTING BREDA UNIVERSITY OF APPLIED SCIENCES,Italy,Rome,J&TI events
489976,2016,310,Architecture and construction,Italy,ISCED-7 - Second cycle / Master’s or equivalent level (EQF-7),Female,-,22,Italy,BOLOGNA,ALMA MATER STUDIORUM - UNIVERSITA DI BOLOGNA,Portugal,LISBOA,UNIVERSIDADE NOVA DE LISBOA
62571,2014,154,Education,Greece,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Female,-,22,Greece,Ριο-Πατρα,UNIVERSITY OF PATRAS,Czech Republic,BRNO,Masarykova univerzita
346322,2022,282,"Travel, tourism and leisure",Belgium,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Female,0,20,Belgium,BRUSSEL,EHB,Portugal,4100-442 Porto,ISAG
213076,2023,141,Crop and livestock production,Germany,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Male,0,22,Germany,STUTTGART,-,France,BEAUVAIS CEDEX,INSTITUT POLYTECHNIQUE UNILASALLE
534178,2017,130,Economics,Italy,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Male,No,21,Italy,MILANO,UNIVERSITA' DEGLI STUDI DI MILANO-BICOCCA,Spain,GETAFE (MADRID),UNIVERSIDAD CARLOS III DE MADRID
62945,2014,264,Economics,Greece,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Female,-,19,Greece,ATHENS,ATHENS UNIVERSITY OF ECONOMICS AND BUSINESS - RESEARCH CENTER,United Kingdom,CANTERBURY,UNIVERSITY OF KENT
258197,2021,152,Engineering and engineering trades,Netherlands,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Male,No,21,Netherlands,TILBURG,STICHTING AVANS,Spain,Valencia,FreeHost Valencia
728843,2023,109,Education,Spain,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Female,0,21,Spain,ALCALA DE HENARES/MADRID,UNIVERSIDAD DE ALCALA,Ireland,LIMERICK,UNIVERSITY OF LIMERICK
42008,2015,126,Education,Belgium,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Female,Yes,20,Belgium,MECHELEN,THOMAS MORE MECHELEN-ANTWERPEN,Spain,VALENCIA,FUNDACION UNIVERSIDAD CATOLICA DE VALENCIA SAN VICENTE MARTIR
7628,2021,81,Audio-visual techniques and media production,Belgium,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Female,0,22,Belgium,Seraing,Haute école de la province de Liège,France,Balma,-
153040,2013,119,Management and administration,Luxembourg,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Female,No,22,Luxembourg,WILTZ,BBI-Lux,Belgium,BRUSSELS,CROWNE PLAZA BRUSSELS AIRPORT
164164,2018,80,Marketing and advertising,Spain,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Female,No,26,Spain,CADIZ,UNIVERSIDAD DE CADIZ,United Kingdom,LONDRES,VIRTUAL HUMAN RESOURCES LTD
408551,2016,134,Political sciences and civics,Greece,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Female,No,20,Greece,ΚΑΛΛΙΘΕΑ,PANTEIO PANEPISTIMIO KOINONIKON KAIPOLITIKON EPISTIMON,Italy,Siena,UNIVERSITA' DEGLI STUDI DI SIENA
585639,2019,292,Psychology,France,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Female,No,19,France,Grenoble Cedex 9,UNIVERSITE GRENOBLE ALPES,Spain,Barcelona,UNIVERSITAT AUTONOMA DE BARCELONA
164703,2014,146,Music and performing arts,Norway,ISCED-7 - Second cycle / Master’s or equivalent level (EQF-7),Male,No,24,Norway,Kristiansand,Universitetet i Agder,Germany,Mannheim,Popakademie Baden-Württemberg GmbH
162663,2018,148,Architecture and construction,Spain,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Female,No,21,Spain,MADRID,UNIVERSIDAD POLITECNICA DE MADRID,Bulgaria,SOFIA,UNIVERSITET PO ARCHITEKTURA STROITELSTVO I GEODEZIJA
399738,2022,270,Languages,Spain,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Female,1,20,Spain,GRANADA,UGR,Belgium,LEUVEN,KATHOLIEKE UNIVERSITEIT LEUVEN
101437,2015,87,Engineering and engineering trades,Spain,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Male,-,21,Spain,Valladolid,UNIVERSIDAD DE VALLADOLID,France,Burdeos,MAJ Nanterre
536272,2018,136,Engineering and engineering trades,France,ISCED-7 - Second cycle / Master’s or equivalent level (EQF-7),Male,No,22,France,Chambery et Annecy,UNIVERSITE SAVOIE MONT BLANC,Slovakia,Bratislava,SLOVENSKA TECHNICKA UNIVERZITA V BRATISLAVE
771027,2024,250,Humanities (except languages),Poland,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Female,0,25,Germany,Berlin,Freie Universitaet Berlin,Portugal,Lisboa,UNIVERSIDADE DE LISBOA
829289,2023,105,Law,Brazil,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Female,0,22,Portugal,COIMBRA,UNIVERSIDADE DE COIMBRA,Italy,Bologna,ALMA MATER STUDIORUM - UNIVERSITA DI BOLOGNA
155353,2020,120,Engineering and engineering trades,Germany,ISCED-7 - Second cycle / Master’s or equivalent level (EQF-7),Female,No,26,Denmark,AALBORG,AALBORG UNIVERSITET,Netherlands,AMSTERDAM,UNIVERSITEIT VAN AMSTERDAM
657000,2022,139,Manufacturing and processing,United Kingdom,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Male,No,20,United Kingdom,GLASGOW,UNIVERSITY OF STRATHCLYDE,Denmark,KGS LYNGBY,DANMARKS TEKNISKE UNIVERSITET
646800,2019,61,Fine arts,Lithuania,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Female,No,22,Lithuania,VILNIUS,VILNIAUS DAILES AKADEMIJA,Germany,Waldsassen,Glashütte Lamberts Waldsassen GmbH
362310,2022,155,Business and administration,Germany,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Male,0,20,Germany,NURNBERG,THN,Spain,PALMA DE MALLORCA,UNIVERSIDAD DE LAS ISLAS BALEARES
213677,2014,319,Languages,Czech Republic,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Male,Yes,21,United Kingdom,ABERDEEN,THE UNIVERSITY COURT OF THE UNIVERSITY OF ABERDEEN,Belgium,LIEGE,UNIVERSITE DE LIEGE
645669,2018,130,Humanities (except languages),Slovakia,ISCED-7 - Second cycle / Master’s or equivalent level (EQF-7),Female,No,23,Slovakia,NITRA,UNIVERZITA  KONSTANTINA FILOZOFA VNITRE,Belgium,LIEGE,UNIVERSITE DE LIEGE
319375,2017,72,Teacher training without subject specialization,Slovakia,ISCED-7 - Second cycle / Master’s or equivalent level (EQF-7),Female,No,24,Slovakia,BRATISLAVA,UNIVERZITA KOMENSKEHO V BRATISLAVE,France,Paris,Slovak Catholic Mission
204602,2022,136,Language acquisition,Italy,ISCED-7 - Second cycle / Master’s or equivalent level (EQF-7),Female,0,22,Italy,ROMA,UNINT,Spain,Valencia,Universidad Europea de Valencia S.L.U.
85895,2021,74,Psychology,Netherlands,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Female,No,21,Netherlands,AMSTERDAM,Stichting VU,United Kingdom,LANCASTER,UNIVERSITY OF LANCASTER
433910,2023,180,Engineering and engineering trades,Italy,ISCED-7 - Second cycle / Master’s or equivalent level (EQF-7),Female,0,24,Italy,BERGAMO,-,Germany,STUTTGART,USTUTT
483511,2022,111,Earth sciences,Norway,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Female,0,23,Norway,BERGEN,UiB,Ireland,DUBLIN,TRINITY COLLEGE DUBLIN
40788,2023,12,"Fashion, interior and industrial design",Spain,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Female,0,21,Spain,VIC BARCELONA,UNIVERSITAT DE VIC UVIC UCC,Germany,WEIMAR,BUW
656955,2019,143,Engineering and engineering trades,Netherlands,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Female,No,18,Netherlands,TILBURG,STICHTING AVANS,United Kingdom,London,Brodie & Stone
864023,2024,180,Languages,France,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Female,1,20,France,Toulouse,-,Spain,CADIZ,UCA
475788,2022,180,Business and administration,Netherlands,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Male,0,21,Netherlands,MAASTRICHT,-,Germany,AACHEN,RWTH AACHEN
641410,2019,137,Economics,Italy,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Male,No,20,Italy,MILANO,UNIVERSITA DEGLI STUDI DI MILANO,Spain,BARCELONA,UNIVERSITAT DE BARCELONA
203934,2020,120,Languages,France,ISCED-7 - Second cycle / Master’s or equivalent level (EQF-7),Male,No,24,France,PARIS,Sorbonne Université,Belgium,BRUXELLES,POLITICO SPRL
191608,2020,289,Architecture and town planning,Turkey,ISCED-7 - Second cycle / Master’s or equivalent level (EQF-7),Female,No,26,Italy,MILANO,POLITECNICO DI MILANO,Germany,WEIMAR,BAUHAUS-UNIVERSITAET WEIMAR
169032,2020,272,Business and administration,Russian Federation,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Female,No,20,Finland,LAPPEENRANTA,LAB AMMATTIKORKEAKOULU OY,Germany,AUGSBURG,Technische Hochschule Augsburg
351852,2016,136,Literature and linguistics,Netherlands,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Male,No,20,Belgium,Ghent,UNIVERSITEIT GENT,Spain,Sevilla,UNIVERSIDAD DE SEVILLA
261457,2018,180,Psychology,Italy,ISCED-7 - Second cycle / Master’s or equivalent level (EQF-7),Female,No,23,Italy,Padua,UNIVERSITA DEGLI STUDI DI PADOVA,United Kingdom,London,Brent Centre For Young People
289644,2017,96,"Travel, tourism and leisure",Portugal,ISCED-5 - Short-cycle within the first cycle / Short-cycle tertiary education (EQF-5),Female,No,19,Portugal,Viana do Castelo,INSTITUTO POLITECNICO DE VIANA DE CASTELO,Spain,Menorca,PORTBLUE LA QUINTA MENORCA
653609,2018,109,Audio-visual techniques and media production,Turkey,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Female,No,21,Turkey,EYUP ISTANBUL,ISTANBUL BILGI UNIVERSITESI,Belgium,BRUXELLES,HAUTE ECOLE GALILEE
218513,2021,7,"Finance, banking and insurance",Latvia,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Male,0,20,Latvia,RIGA,THE BALTIC INTERNATIONAL ACADEMY BSA,Poland,Lublin,WYŻSZA SZKOŁA NAUK SPOŁECZNYCH Z SIEDZIBĄ W LUBLINIE
141847,2014,180,Education,Italy,ISCED-9 - Not elsewhere classified,Female,No,25,Italy,FIRENZE,UNIVERSITA DEGLI STUDI DI FIRENZE,United Kingdom,Birmingham,School of Biosciences ? University of Birmingham
715960,2019,360,Chemical engineering and processes,United Kingdom,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Female,No,21,United Kingdom,BELFAST,THE QUEEN'S UNIVERSITY OF BELFAST,Ireland,Clonmel,MSD Ireland
859618,2024,281,Journalism and information,France,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Female,0,20,France,RENNES CEDEX,RENNES 2,Italy,URBINO,UNIURB
822299,2024,145,Psychology,Spain,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Female,1,20,Spain,VALENCIA,UVEG,Italy,BOLOGNA,ALMA MATER STUDIORUM - UNIVERSITA DI BOLOGNA
384183,2017,101,Literature and linguistics,Belgium,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Female,No,18,Belgium,GHENT,UNIVERSITEIT GENT,United Kingdom,London,"SCHOOL OF ORIENTAL AND AFRICAN STUDIES, UNIVERSITY OF LONDON"
205078,2021,110,Information and Communication Technologies (ICTs),France,ISCED-7 - Second cycle / Master’s or equivalent level (EQF-7),Male,No,24,France,Paris,ASSOCIATION ISEP - EDOUARD BRANLY,United Kingdom,Salford,THE UNIVERSITY OF SALFORD
543058,2016,269,Religion and theology,Romania,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Male,No,21,Romania,SIBIU,UNIVERSITATEA LUCIAN BLAGA DIN SIBIU,Italy,Breno,Parochia Santi Archangeli Michele e Gabriele
30205,2014,127,Engineering and engineering trades,Germany,ISCED-7 - Second cycle / Master’s or equivalent level (EQF-7),Male,No,24,Germany,Dresden,TECHNISCHE UNIVERSITAET DRESDEN,United Kingdom,Sheffield,THE UNIVERSITY OF SHEFFIELD
344084,2023,144,Information and Communication Technologies (ICTs),France,ISCED-7 - Second cycle / Master’s or equivalent level (EQF-7),Female,0,21,France,KREMLIN BICETRE,EPITA,Sweden,STOCKHOLM,-
206936,2015,136,Arts,France,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Male,No,20,Netherlands,Utrecht,Stichting Hogeschool Utrecht,Spain,Valencia,Tespack LTD
90206,2019,138,Languages,Italy,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Female,No,21,Italy,VERONA,UNIVERSITA  DEGLI STUDI DI VERONA,Sweden,FALUN,HOGSKOLAN DALARNA
789885,2024,122,Biological and related sciences,Germany,ISCED-7 - Second cycle / Master’s or equivalent level (EQF-7),Male,1,25,Germany,GREIFSWALD,UG,Estonia,TARTU,ESTONIAN UNIVERSITY OF LIFE SCIENCES EMU
176904,2014,126,Biological and related sciences,Poland,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Male,Yes,21,Poland,LODZ,POLITECHNIKA LODZKA,Denmark,KONGENS LYNGBY,DANMARKS TEKNISKE UNIVERSITET
567521,2024,107,Business and administration,Norway,ISCED-7 - Second cycle / Master’s or equivalent level (EQF-7),Female,0,24,Norway,Bergen,The Norwegian School of Economics,Portugal,LISBOA,Iscte
104751,2015,183,Business and administration,France,ISCED-7 - Second cycle / Master’s or equivalent level (EQF-7),Male,No,25,France,DIJON,Groupe ESC Dijon Bourgogne,Spain,Bilbao,Guerre San Martin Diffusion SA
173892,2014,131,Agriculture,Poland,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Female,No,20,Poland,WARSZAWA,SZKOLA GLOWNA GOSPODARSTWA WIEJSKIEGO,Czech Republic,PRAHA,Ceska zemedelska univerzita v Praze
156536,2015,91,Engineering and engineering trades,France,ISCED-7 - Second cycle / Master’s or equivalent level (EQF-7),Male,No,25,France,NANTES CEDEX 1,UNIVERSITE DE NANTES,Ireland,Maynooth,Maynooth University
335795,2015,135,History and archaeology,Germany,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Female,-,21,Germany,Muenster,WESTFAELISCHE WILHELMS-UNIVERSITAET MUENSTER,Netherlands,Nijmegen,STICHTING KATHOLIEKE UNIVERSITEIT
652424,2023,138,Information and Communication Technologies (ICTs),Austria,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Female,1,28,Austria,PUCH BEI HALLEIN,FHS,Sweden,HALMSTAD,HOGSKOLAN I  HALMSTAD
489432,2019,291,Law,Germany,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Male,No,24,Germany,BERLIN,HUMBOLDT-UNIVERSITAET ZU BERLIN,Netherlands,Amsterdam,UNIVERSITEIT VAN AMSTERDAM
481142,2019,122,Business and administration,Czech Republic,ISCED-7 - Second cycle / Master’s or equivalent level (EQF-7),Female,No,22,Czech Republic,ZLIN,UNIVERZITA TOMASE BATI VE ZLINE,Turkey,ALSANCAK IZMIR,DOKUZ EYLUL UNIVERSITESI
71278,2016,270,Education science,Germany,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Female,No,23,Germany,HILDESHEIM,STIFTUNG UNIVERSITAT HILDESHEIM,Ireland,Goleen,Courage Irland Ltd.
292495,2021,136,Language acquisition,Turkey,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Female,No,21,Turkey,ISTANBUL,BOGAZICI UNIVERSITESI,Denmark,AARHUS C,AARHUS UNIVERSITET
488633,2017,270,Audio-visual techniques and media production,France,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Female,No,25,France,Villeneuve d'Ascq Cedex,UNIVERSITE DE LILLE,Spain,Sevilla,UNIVERSIDAD DE SEVILLA
887336,2024,137,Political sciences and civics,Italy,ISCED-7 - Second cycle / Master’s or equivalent level (EQF-7),Female,0,22,Italy,PADOVA,UNIVERSITA DEGLI STUDI DI PADOVA,Belgium,BRUXELLES,ULB
8618,2021,112,Business and administration,Germany,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Male,0,21,Germany,MANNHEIM,Universität Mannheim,Italy,Milano,UNIVERSITAT DE BARCELONA
521946,2017,180,Languages,Italy,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Male,No,21,Italy,VENEZIA,UNIVERSITA CA' FOSCARI VENEZIA,France,PARIS,INSTITUT NATIONAL DES LANGUES ET CIVILISATIONS ORIENTALES
242689,2016,60,"Fashion, interior and industrial design",Poland,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Female,No,22,Poland,Warszawa,VIAMODA Szkola Wyzsza z siedziba w Warszawie,United Kingdom,Rickmansworth,Palmer//Harding LTD
752105,2024,111,Business and administration,Belgium,ISCED-7 - Second cycle / Master’s or equivalent level (EQF-7),Male,0,21,Belgium,GENT,UGent,Portugal,LISBOA,UNL
465223,2017,246,Engineering and engineering trades,Spain,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Female,No,21,Spain,MONDRAGON,MONDRAGON UNIBERTSITATEA,France,Marsella,Aix Marseille Université
78604,2017,179,Physics,Germany,ISCED-7 - Second cycle / Master’s or equivalent level (EQF-7),Female,No,22,Germany,Saarbrücken,UNIVERSITAT DES SAARLANDES,Finland,Espoo,AALTO KORKEAKOULUSAATIO SR
15773,2023,120,Health,Germany,ISCED-7 - Second cycle / Master’s or equivalent level (EQF-7),Female,0,23,Germany,BIELEFELD,UNIBI,Netherlands,Amsterdam,-
166716,2014,133,Languages,Poland,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Female,No,21,Poland,Krakow,UNIWERSYTET JAGIELLONSKI,France,CRETEIL,UNIVERSITE PARIS XII VAL DE MARNE
100345,2020,166,Political sciences and civics,Turkey,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Male,No,22,Turkey,Ankara,Baskent University,Estonia,TALLINN,TALLINN UNIVERSITY
439627,2016,330,Language acquisition,Finland,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Female,No,20,Finland,TURUN YLIOPISTO,TURUN YLIOPISTO,Germany,BAMBERG,OTTO-FRIEDRICH-UNIVERSITAET BAMBERG
556808,2019,167,Education,Spain,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Female,No,20,Spain,MADRID,UNIVERSIDAD AUTONOMA DE MADRID,Norway,OSLO,HOGSKOLEN I OSLO OG AKERSHUS
474478,2015,260,Architecture and town planning,Poland,ISCED-7 - Second cycle / Master’s or equivalent level (EQF-7),Female,No,24,Poland,SZCZECIN,ZACHODNIOPOMORSKI UNIWERSYTET TECHNOLOGICZNY W SZCZECINIE,Turkey,IZMIR,IZMIR EKONOMI UNIVERSITESI
541033,2019,278,Business and administration,Spain,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Female,No,21,Spain,OVIEDO,UNIVERSIDAD DE OVIEDO,Finland,TURKU,TURUN YLIOPISTO
253578,2018,62,Economics,Italy,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Male,No,21,Italy,BOLOGNA,ALMA MATER STUDIORUM - UNIVERSITA DI BOLOGNA,Spain,Barcelona,Dpointgroup
417435,2023,169,Chemistry,Morocco,ISCED-5 - Short cycle within the first cycle / Short-cycle tertiary education (EQF-5),Female,1,28,France,STRASBOURG,UNISTRA,Luxembourg,Dudelange,-
688006,2024,120,Statistics,Türkiye,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Male,0,23,Türkiye,CANKAYA ANKARA,-,Italy,ROMA,-
439067,2016,242,Business and administration,Finland,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Male,No,23,Finland,Pori,SATAKUNNAN AMMATTIKORKEAKOULU OY,Czech Republic,Ceske Budejovice,Vysoká skola technicka a ekonomicka v Ceskych Budejovicich
202292,2017,126,Information and Communication Technologies (ICTs),Croatia,ISCED-7 - Second cycle / Master’s or equivalent level (EQF-7),Female,No,24,Croatia,SPLIT,SVEUCILISTE U SPLITU,Austria,WIEN,TECHNISCHE UNIVERSITAET WIEN
563390,2016,128,Literature and linguistics,Turkey,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Female,No,21,Turkey,ANKARA,BILKENT UNIVERSITESI VAKIF,Finland,TURUN YLIOPISTO,TURUN YLIOPISTO
554438,2019,284,Education,Spain,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Female,No,20,Spain,BADAJOZ,UNIVERSIDAD DE EXTREMADURA,Portugal,LISBOA,INSTITUTO POLITECNICO DE LISBOA
50463,2015,183,Education,Spain,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Male,No,42,Denmark,Vejle,PROFESSIONSHOJSKOLEN LILLEBAELT,Spain,Granada,Espacios Montessori
492588,2021,60,Law,Montenegro,ISCED-7 - Second cycle / Master’s or equivalent level (EQF-7),Female,0,27,Slovenia,LJUBLJANA,UL,Spain,MADRID,DIMITRA INTERNATIONAL
46643,2014,147,Earth sciences,Germany,ISCED-7 - Second cycle / Master’s or equivalent level (EQF-7),Female,-,23,Germany,Hannover,GOTTFRIED WILHELM LEIBNIZ UNIVERSITAET HANNOVER,Denmark,Aalborg,AALBORG UNIVERSITET
558222,2016,91,Medicine,Turkey,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Female,No,23,Turkey,CANKAYA ANKARA,HACETTEPE UNIVERSITESI,Germany,BOCHUM,RUHR-UNIVERSITAET BOCHUM
